Book-Author
Mark P. O. Morford
Richard Bruce Wright
Carlo D'Este
LEWIS GRIZZARD
Paul Theroux
Lewis Grizzard
Charles Hickey
Stephen King
Ben Mezrich
Bill Hand
Tom Clancy
DANA REEVE
Roy
Barbara Metzger
Gabriel Garcia Marquez
Rebecca Wells
Tony Hillerman
Robert James Waller
Rachel Harris
IAN MCEWAN
Michael Lewis
Richard Zimler
Norman Jetmundsen
Lorenzo Carcaterra
Anne Frasier
Kay Hooper
Soren Kierkegaard
Jose Ortega Y Gaset
Daphne Du Maurier
Nathaniel Hawthorne
Nick Page
Laura Wolf
LOIS DUNCAN
Susan Grant
Barbara Vine
Shirley Rousseau Murphy
Jane Lindskold
Betty Smith
Cybill Shepherd
Stewart O'Nan
David Baldacci
Douglas Adams
Mary Lawson
Willa Cather
Olivia Goldsmith
Helen Fielding
Franklin W. Dixon
Lilian Jackson Braun
Holly Virden
H. Norman Wright
Piers Anthony
RAY BRADBURY
Schiller
Ray Bradbury
Raymond Chandler
Paolo Coelho
Fay Weldon
Arabella Weir
Kiana Davenport
Sue Townsend
Renan Demirkan
Michael Moore
Jonathan Franzen
Jerome D. Salinger
James Joyce
Joanna Trollope
Milan Kundera
Arundhati Roy
Robert S. Levinson
Lorna Landvik
Arthur Golden
KENT HARUF
Patricia D. Cornwell
Carol J. Farley
Kathleen E. Woodiwiss
Belva Plain
MARK HADDON
ANN BRASHARES
Erich Segal
Elizabeth Adler
Nicholas Sparks
JOHN SAUL
LORNA LANDVIK
Steve Thayer
Tracy Chevalier
Judith Kelman
Michael Palmer
Francine Hughes
Norman Bridwell
Frank McCourt
Malachy McCourt
Mari Sandoz
Anne Perry
ALEXANDER MCCALL SMITH
Gregory Maguire
Yann Martel
Ruth Rendell
Al Franken
DONNA TARTT
John Milne
Terry Pratchett
E. B. White
J. M. Barrie
Mary O'Hara
Louise Rennison
Kenneth Grahame
Bernard Cornwell
Charles de Lint
Edward John Moreton Drax Plunkett Dunsany
Georgette Heyer
OSCAR WILDE
Ted Hughes
ROALD DAHL
Donna Jo Napoli
A. S. Byatt
Tanuja Desai Hidier
SOPHIE KINSELLA
Isabel Wolff
Louisa May Alcott
George Orwell
Charles Dickens
Isabel Allende
Ellen Datlow
A.S. BYATT
Joseph Heller
John Galsworthy
Enid Blyton
Neil Gaiman
Alan Moore
Trudy Suggs
Tom Wolfe
Brady Udall
Homer Hickam
Pearl Abraham
Sebastian Junger
Karen Armstrong
Mary Barnard
David Brin
T. Coraghessan Boyle
Paul Woodruff
Lynda Madaras
Stephen McCauley
Isabelle Holland
Pam Conrad
Lurlene McDaniel
Brian Kaufman
John Darnton
Martin Schenk
DAVID EDDINGS
Paul Reiser
David G. Hartwell
Dave Barry
John R. Holt
Theodore Beale
Frank M. Robinson
Mary Jane Clark
Mary Wollstonecraft Shelley
Isabel-Clara SimÃ³
Robert Westall
Robert B. Parker
Rita Chapman Works
A. Manette Ansay
Sarah Waters
Anne Frank
Barry Lopez
Greg Palast
Andrea Kane
Nevada Barr
Paul Auster
Margaret Maron
EDNA BARKER
Muriel Whitaker
John Irving
Golding
HarperReference
LTD
Ann Patchett
Roald Dahl
Sue Monk Kidd
Bob Thiele
Colleen McCullough
Joanne Harris
Thomas Cahill
Michael Hudson
Jane Smiley
Dick Francis
Nora Roberts
Jean Marzollo
Walter Wick
Barbara Delinsky
P. D. James
Arthur William Upfield
Christopher Rice
Rex Stout
Joan Anderson
Vance Havner
Warren W. Wiersbe
Max Lucado
Lawrence J Crabb
Barry Neil Kaufman
Bob Sjogren
Frederick J. Moody
Neal Pirolo
William Sleator
Antoine de Saint-ExupÃ©ry
Richard Bach
Kevin Sullivan
Michele Morgan
"Scott, Cunningham"
David Allen Hulse
Richard Webster
Bernard King
Pat Hutchins
William Shakespeare
Melissa McClone
Cheryl St. John
Lewis Carroll
Mark Twain
Dog Mary Crow
Linda Gordon
Florence King
Alice Sebold
Spalding Gray
Thomas Harris
EDWARD RUTHERFURD
Margaret Atwood
Dorothy Allison
MAYA ANGELOU
Edith Wharton
Mary Brave Bird
John G. Neihardt
Roland Warren
Johnny Molloy
James McCourt
Elizabeth Wurtzel
Bill Bradley
Don Miguel Ruiz
Luis Racionero
Eugeni Perea SimÃ³n
Thomas Hauser
VicenÃ§ Villatoro
VÃ­ctor Mora
Elena Castedo
OfÃ¨lia Dracs
Antoni Serra
M. Carme Junyent
Jaume CapÃ³
MÃ rius Serra
Ferran Torrent
Joan Agut
Carmen Rico-Godoy
Maria JaÃ©n
Paul Lester
Leo Tolstoy
Simon Nye
Robert A Johnson
Horacio Vazquez-Rial
Marc Gascoigne
Stephanie Maze
Sandra Dallas
Anne McCaffrey
David Gemmell
Laura Zigman
Margaret Truman
Nic Kynaston
Paula Danziger
Richard A. Lupoff
Carrie Bebris
Ellen Carol Dubois
Candice F. Ransom
Sam Bobrick
Donna K Grosvenor
NATHANIEL HAWTHORNE
Valerie Block
Luanne Rice
Ellen Gilchrist
JOHN IRVING
TIM GAUTREAUX
Richard Russo
Jostein Gaarder
ANNA QUINDLEN
Diane Johnson
DEAN KOONTZ
Wally Lamb
Adeline Yen Mah
Barbara Ehrenreich
DOROTHY DUNNETT
JOHN LE CARRE
A. C. Gordon
Emily Dickinson
Hazel Harrison
Joseph Girzone
JOSEPH GIRZONE
Lorraine Anderson
AD HUDLER
Josephine Carlton
Ted L. Nancy
Francis Wheen
Joyce Reardon
Sidney Sheldon
Christopher Moore
Robert Lacey
Tim Dorsey
JODI COMPTON
Elmore Leonard
Lynn Coady
John Lawton
Eileen Yin-Fei Lo
Tilden H. Edwards
Vikram Seth
Elizabeth Gaskell
Anita Diamant
Lauren Haney
Gerald Stern
Patricia Daniels Cornwell
Martha Grimes
Henry James
Sarah Orne Jewett
William Carlos Williams
Anthony Trollope
Harry Kemelman
Mil Millington
Suzanne G. Farnham
Czeslaw Milosz
Margaret Guenther
Roberto Juarroz
Akiba Rubinstein
Emma McLaughlin
P Coelho
Elena Ferrante
Paul Jennings
"Mark E., Jr. Neely"
Stephen J. Weininger
Larry Katzenstein
David Steinman
Alfie Kohn
Paula Polk Lillard
David Lewis
Billie Livingston
Adele Lang
Jen Banbury
Catherine Coulter
Dominick Dunne
Clive Cussler
John Pascal
Carl Hiaasen
Jonathan Safran Foer
Francesca Marciano
JULIA GLASS
Tawni O'Dell
Jennifer Weiner
Danielle Steel
Leon Hale
Russell Banks
Samuel Taylor Coleridge
Bradley Warshauer
Bobbie Ann Mason
Karen Robards
Emma Lathen
Faye Kellerman
Jacquelyn Mitchard
JANE SMILEY
DIANE MOTT DAVIDSON
Candace Bushnell
KRISTIN HANNAH
Michael Marshall
Allen Widome
Wilbur Smith
Mike Thaler
Michael Slade
John Sandford
TAMI HOAG
Ted Dekker
Angela Elwell Hunt
C. S. Lewis
William Eisner
Robin Cook
E. LYNN HARRIS
Linda Goodman
ANNE RICE
Anne Rice
Judith Rossner
Marilyn French
Wayne W. Dyer
Armistead Maupin
Julie Morgenstern
Peter Straub
Jack
Barbara Taylor Bradford
Lisa Jackson
SHARYN MCCRUMB
Cokie Roberts
Shana Corey
Jesse S. Ostrow
Justine Korman
PATRICIA REILLY GIFF
Beverly Cleary
K. A. Applegate
Jane Yolen
Dinah L. Moche
Marvin Miller
Craig Boldman
H. G. Wells
Bobbie Kalman
Mercedes Lackey
Dorothy Gilman
Moveon
Christopher Finch
CHARLES FRAZIER
Julia Spencer-Fleming
Fannie Flagg
Laura Ingall Wilder
LISA GARDNER
Gertrude Chandler Warner
Lynn S. Hightower
Sharyn McCrumb
Eric Schlosser
Suzanne Brockmann
Gail Carson Levine
FRANCES KUFFEL
Susan Conant
DAVID SCHICKLER
Judith McNaught
Janet Evanovich
Sylvia Plath
Ilona Koidahl
Fern Michaels
Betsy Byars
Bruce Sterling
Sarah Ban Breathnach
Alice Hoffman
Lisa Scottoline
Spencer Johnson
Ian McEwan
David Feldman
Richard Bausch
Katie Fforde
James Burke
Bliss Broyard
Sara Paretsky
Charles Webb
Elizabeth Benedict
Stanley Morison
Henry Miller
David Whyte
Warren  Bennis
Martha Beck
Desmond Mpilo Tutu
Kris Shepard
Jack Kerouac
Martin Buber
NiccolÃ² Machiavelli
Gianfranco Bettin
Paul Monette
Ernest Hemingway
Melody Carlson
Alisa Kwitney
Billie Letts
Melissa Bank
Rena Kornreich Gelissen
Moon Unit Zappa
Ted Mooney
Susan Wiggs
Gwyn Hyman Rubio
Elisabeth Robinson
Audrey Niffenegger
Tim Farrington
Chaim Potok
Scott Spencer
V. S. Naipaul
V.S. Naipaul
Jean Giono
Alain-Fournier
Erich Maria Remarque
Lewis
Rene Barjavel
Alexandra David-NÃ?Â©el
C. Baudelaire
Raymond Radiguet
Emile Zola
Pergaud
Collectif
Sten Nadolny
Cheryl Benard
Christa Wichterich
John. Blofeld
Christine Obbo
Peter B Heim
Hera Lind
Jane Hamilton
Jack Higgins
Max Allan Collins
David Guterson
Bernhard Schlink
Eric Jerome Dickey
Patricia Gaffney
Richard Paul Evans
Marc Levy
Laney Katz Becker
VLADIMIR NABOKOV
Jennifer Lauck
Joe Keenan
Jeanne Ray
Tony Parsons
Jane McCafferty
Laura Esquivel
J.R.R. TOLKIEN
Venise T. Berry
Jan Karon
Cormac McCarthy
Travis Thrasher
John McEnroe
Sally Mandel
Linda Lay Shuler
Janet Dailey
Claude Lanzmann
Lemony Snicket
Matthew Thomas
Boris Vian
Luis SepÃ?Âºlveda
Hubert Selby
Jacob Weisberg
David Lodge
Judy Hamilton
Philip Ardagh
Iain Banks
David Crombie
John Steinbeck
Michael O'Mara
Richard Brassey
Jean Van Hamme
R. W. Holder
Valerie Ferguson
Bernard Werber
Andy Sloss
ALLAN ZOLA KRONZEK
Charles L. Squire
Gordon Jarvie
Alan Spence
Helene Siegel
E.H. Shepard
Alan Alexander Milne
Eric Thompson
Elizabeth Strout
David Sedaris
Leslie Feinberg
Chris Anne Wolfe
Lauren Sanders
Gael Baudino
Lauren Maddison
Carol Anshaw
Jean Stewart
Emma Donoghue
Deborah McDowell
Karen X. Tulchinsky
Jill Thompson
Jody Seay
Manda Scott
Jeff Foxworthy
Terry Brooks
A.C. Crispin
A. C. Crispin
Madelyn Arnold
Tamora Pierce
Carolyn Chute
Sara Orwig
Melisa Michaels
Isobel Bird
Frederik Pohl
VONDA MCINTYRE
John Varley
Nancy Garden
Nicola Griffith
Julie Campbell
LEE SMITH
JACQUELINE WOODSON
Jacqueline Woodson
Pat Head Summitt
Richard Belzer
Nick Hornby
Andrew L. Johnson
Marian Babson
W. Michael Gear
Paul Phifer
Peter Hoeg
Erma Bombeck
Roberto Vecchioni
John Mortimer
E. L. Doctorow
Simon Schama
Frank Waters
Karen Hesse
Kenneth Oppel
Carol Ryrie Brink
Shelly R. Roberts
Diane Duane
Carolee Brockmann
Rachel Roberts
Lensey Namioka
Jackie Eileen Behrend
Andrew Clements
LOIS LOWRY
Paul Hattaway
Alain Stella
Milena Moser
Patricia Highsmith
Stephen Donaldson
STEPHEN R. DONALDSON
Ellen Rimbauer
Todd Herzog
John Borneman
ROBERT S. MCELVAINE
Bram Stoker
Michael A. Stackpole
Langston Hughes
Carol Matthews
Carole Matthews
Jacqueline L. Tobin
Marion Zimmer Bradley
Andrei Codrescu
Carolyne Aarsen
Louis L'Amour
Jack Chapman
Anthony J Alessandra
Charles R. Swindoll
Orson Scott Card
V. A Howard
Walter P. Wilson
Bruce Fries
"Rush H., III Limbaugh"
Anne Dingus
Kate Chopin
Kirk Kazanjian
Donald Merriam Allen
William Maples
Carl Hausman
Richard Peck
Michael Connelly
John T. Lescroart
John Jakes
Alice McDermott
Hilary Bailey
Howard Fast
Jessica Fletcher
RICHARD NORTH PATTERSON
Eileen Goudge
DANIELLE STEEL
Arnette Lamb
WALTER CRONKITE
Tom Mula
Lois Faye Dyer
Sharon Lamb
Sir Arthur Conan Doyle
AGATHA CHRISTIE
Mark Cohen
Sherry Shahan
Helen Myers
Della Rowland
Irving. Adler
Elizabeth Peters
Shirlee Busbee
EMILY BRONTE
Frank E. Peretti
John A. Keel
Stefanie Scott
Rebecca Winters
Meg Cabot
Tanith Lee
Cathy Gillen Thacker
Richard Burton
Jeffrey Eugenides
Beverly Hastings
Cyrano de Bergerac
James C. Robertson
Teresa Southwick
Judith Guest
Sandra Field
Helen Brooks
Blanche Fisher Wright
George Gately
James Lee Burke
Michael Chabon
Barbara Michaels
Norton Juster
Michael Blake
John Bellairs
CARL HIAASEN
Carole Nelson Douglas
WILLIAM GOLDMAN
Marc Reisner
Mark Bowden
Jonathan Pearce
Emily Bronte
Alain de Botton
Chuck Palahniuk
Annie Proulx
Adam Davies
Harry M. Walker
Nicholas Evans
L.M. MONTGOMERY
Vinke
DAVID MITCHELL
Charles Bukowski
Haruki Murakami
Frances Hodgson  Burnett
Patricia C. Wrede
Jack London
Bruce Wilkinson
Malcolm Goodway
Ann-Marie MacDonald
Iris Johansen
FERN MICHAELS
Linda Howard
Sue Miller
Sheri S. Tepper
DR SEUSS
Tobias Wolff
Isaac Bashevis Singer
Gary Zukav
Alfred H. Kelly
Plato
B Kliban
JUDY BLUNT
William Trevor
Alice Walker
Stephen Gazi
Wallace Stegner
Don DeLillo
Ralph Ellison
Shel Silverstein
Jhumpa Lahiri
Liz Trigg
Charles Sullivan
TOM ROBBINS
Ursula Hegi
Samuel Richardson
Valerie Martin
Gill Farrer-Halls
John Mordock
Susan Bowes
DIANA GABALDON
Zadie Smith
NATALIE GOLDBERG
Sue Grafton
William J. Kennedy
Bob Shacochis
Randy Alcorn
Nancy Cobb
Margriet de Moor
Dale Carnegie
Clifford Stoll
SANDRA CISNEROS
Gary Paulsen
Marguerite Henry
Sherry Garland
Kimberly Kirberger
Ariella Papa
Michael J. Rosen
Dawn Chipman
Shannon Olson
Phyllis Reynolds Naylor
Karen Stolz
CLARE NAYLOR
Stephen Chbosky
Antonio Albanese
Margaret Weis
Ivan Doig
Sylvia Nasar
Ha Jin
Elizabeth Laird
Harlan Ellison
David M. Gitlitz
Wolfgang Hohlbein
Christoph Hein
Gaby Hauptmann
Carolyn See
Christa Wolf
Thomas Brussig
Piers Vitebsky
Christopher Weidner
H. P. Lovecraft
Pamela Grim
Arthur C. Clarke
Jay Bennett
John Applegate
J. Michael Straczynski
John Myers Myers
Reay Tannahill
Jack Whyte
Stephen R. Donaldson
Stephen R Donaldson
Peter Matthiessen
Paul Kent
Robin McKinley
Hank Whittemore
Ellyn Satter
Bill Brittain
August Wilson
Marilynn Robinson
Sigrid Nunez
Amanda Scott
John Fowles
Christopher Catling
A'Lelia Bundles
Dorothy L. Sayers
Jude Deveraux
Anne Morrow Lindbergh
LAURIE R. KING
Jeanne Duprau
Louise Erdrich
Melinda Haynes
Belle Yang
Carol Shields
Vladimir Vladimirovich Nabokov
Tim Powers
Jean Lorrah
Oscar Wilde
John Beer
Paulo Coelho
Barbara Erskine
Annegrit Arens
Hans Joachim Alpers
Hermann Hesse
Claudia von Zglinicki
Linda Lael Miller
Jane Feather
LOUIS L'AMOUR
William Forstchen
Spider Robinson
Dennis L. McKiernan
Mallory Rush
Lionel Fenn
Carole Halston
Christine Rimmer
BJ James
Truman Capote
Darrell Scott
Johann Wolfgang Von Goethe
Thomas Elsaesser
Adrian Plass
Frank Mccourt
Stephen Quirke
James Herbert
William Sutcliffe
Janosch
Jean de Brunhoff
Philippe Fix
Claudia Keller
F. Paul Wilson
Arnold A. Lazarus
Clarissa Pinkola Estes
Virginia Allen Jensen
CHUCK PALAHNIUK
John Paul Allen
Tournier
G. B. Trudeau
Gary Larson
Garrison Keillor
Berke Breathed
Barbara Ann Kipfer
STEPHEN FRIED
George Stephanopoulos
Rita Mae Brown
Cornelia Funke
Stan Lee
Camille Paglia
James Kahn
James McBride
Louis Sachar
Eric Van Lustbader
Robert Asprin
ANNE FRANK
Georg Feverstein
Nomi Eve
Bruce Catton
William Gibson
Clement Eaton
Sophie Kinsella
Judy Collins
Oliver W. Sacks
Annette Broadrick
Rachel Cohn
Carolyn Keene
Rachel Naomi Remen M.D.
Jayne Ann Krentz
Joan Smith
Kaye Gibbons
Bryn Chandler
Tod Brewster
Eliza Osborne
Howard Norman
John Griesemer
Marly A. Swick
John L'Heureux
Molly Ivins
Forrest Carter
Umberto Eco
Greg Bear
Kathy Reichs
Jeffery Deaver
Martin Cruz Smith
V.C. Andrews
Stephen Hill
Ernst W. Heine
Donna Fletcher
Jeanne Larsen
Bari Wood
James Gould Cozzens
Reidar Jonsson
June Vendall Clark
Robert Reilly
Kem Nunn
Larry King
Ernest J. Gaines
Anne Lamott
Bret Lott
Zora Neale Hurston
Jude Fisher
Salman Rushdie
G. P. Taylor
Bill Bryson
ANNE MCCAFFREY
Philip Pullman
Judy Astley
Roger E. Allen
Margaret Tempest
James Barclay
Kahlil Gibran
Libby Purves
JANE KIRKPATRICK
TESS GERRITSEN
Olive Ann Burns
Michael Ende
Corrie Ten Boom
Bodie Thoene
Marlo Schalesky
MARK SALZMAN
Alexander McCall Smith
Michael Paterniti
Dorothy Reynolds Miller
Steve Martin
Banana Yoshimoto
Ann Rae Jonas
Readers Digest
Joseph Campbell
Dyanne Gibson
Isaac Asimov
Bruce Coville
TERRY BROOKS
Edwidge Danticat
Joe R. Lansdale
ARTURO PEREZ-REVERTE
Sheila O'Connor
ERIK LARSON
Saul Bellow
Dan Millman
Ned Vizzini
Laurie Halse Anderson
Chris Wooding
Mary McGarry Morris
Brian O'Leary
F. David Peat
L. Ron Hubbard
Stephen Coonts
JOHN WHITMAN
Peter Kummer
Sven Regener
Wendy Leigh
Dorothy Sterling
Frances Hodgson Burnett
B. K. S. Iyengar
Kate Atkinson
Susan M. McIntosh
Paul Gross
Diane Muldrow
Robert Bloch
Mollie Molay
Grace Colling
Judy Blume
Jonathan Rabb
Patrick Robinson
ROBERT T. BAKKER
Fred Saberhagen
Richard Moran
Michael Dimercurio
Wilkie Collins
Raymond Cloutier
Randall Wallace
Rhoda Huffey
CALVIN TRILLIN
Rachel Simon
Nick Earls
Carol Emshwiller
Tom Robbins
Edith Konecky
JONATHAN HARR
Kristin Hannah
Ayn Rand
MARGARET ATWOOD
ALEXANDRE DUMAS
Dorothy Garlock
Whitney Otto
Michael Cunningham
Diane Ackerman
Susan Isaacs
Douglas Preston
Kim Stanley Robinson
William Safire
Leslie Glass
F.Scott Fitzgerald
Cathy Cash Spellman
Grace Slick
Jerry Bledsoe
Jane Sigaloff
Marian Keyes
Stephen Fried
Melissa Rossi
Jackie Collins
Drew Barrymore
Carrie Alexander
Lori Handeland
Debra Salonen
Deborah Laake
Margaret Way
Marisa Carroll
Eduardo Duran
Dave Eggers
Hernando De Soto
Julie Miller
Jasper Fforde
Wendy Holden
Sebastian Faulks
SUE MARGOLIS
Dora Levy Mossanen
Sheri Holman
Jacqueline Susann
Stephanie Laurens
Jane Mendelsohn
Madge Swindells
Richard George Adams
John Colapinto
Ildiko Kurthy
John McPhee
Kurt Vonnegut
Veronique Vienne
SANDOR MARAI
Mark A. S. McMenamin
Nancy K Robinson
Jillian Lund
Ann Rinaldi
Scott O'Dell
THOMAS ROCKWELL
Louise Plummer
Dave Duncan
Richard Awlinson
Scott Ciencin
Patricia Kennealy-Morrison
Julie E. Czerneda
Eva Heller
Jan McDaniel
Genell Dellin
Betty Neels
Barbara Dolan
Viveca Carlysle
Judy Jackson
Lewis Orde
Beatrice Sparks
Peter Mayle
Philip Kindred Dick
Douglas Kennedy
Philip K. Dick
Dick
Aldous Huxley
Edgar Allan Poe
Mark Z. Danielewski
Laurent Vicomte
Jean Bonnefoy
Philip K. (Philip Kindred) Dick
Albert Camus
Stan Berenstain
A. J. Wood
Sunny Griffin
Disney Enterprises Inc
Maida Silverman
Jean Giraudoux
Nicholas Ross
Lynne Reid Banks
Carolyn Wheat
DAN SIMMONS
Ros Stanley
R. L. Stine
Steve Barlow
Katherine Applegate
Anonimo
Matthew F Christopher
Marilyn Penovich Friend
Brian Herbert
C. A. Stephens
Mary Evans O'Keefe Gravalos
Randall Rothenberg
Enos A. Mills
JOHN FITZGERALD
Sebastiano Vassalli
Patrick McGrath
William Kotzwinkle
Vincent Bugliosi
Mark Richard
Ben Elton
Ltd Editorial Staff Publication International
MARY DORIA RUSSELL
MacDonald Harris
Lawrence Goldstone
Leslie Land
Rikki Ducornet
VICTOR HUGO
Jennifer Egan
Dodie Smith
Doug  Lowe
Arlene Eisenberg
JANE GREEN
Gary Ezzo
Dennis Rainey
David Gardner
Joan D. Vinge
R. A. MacAvoy
Brooke Stevens
Ann B. Ross
Adriana Trigiani
BEBE MOORE CAMPBELL
Barbara Corcoran
Amy Hassinger
Erica Jong
Diana Palmer
J.R.R. Tolkien
Rebecca Godfrey
Lois Battle
Allen Ginsberg
ANNE TYLER
Andrew M. Greeley
Rick Davis
Catholic Church
Alfred McBride
Russell L. Ford
Robertson Davies
Bill Watterson
Jacqueline Kasun
Leslie Meier
Corinne T. Netzer
Stefano Benni
Alessandro Baricco
Alice Adams
Frederick Buechner
Max Frisch
Thomas Pynchon
Veronika Martenova Charles
Ron L. Hubbard
Doris Pilkington
Stephen Gallagher
Robert Louis Stevenson
Edwina Currie
Donald A. Mackenzie
Jules Verne
Laurie Lee
Sam Siciliano
Joe Haldeman
Leon Uris
Anatoli Boukreev
Steve Lewis
Len Deighton
Dale L. Anderson
William Gerald Golding
William J. Mann
Laurell K. Hamilton
James Reese
Judge Judy Sheindlin
Manil Suri
VICTORIA SULLIVAN
Kingsley Amis
Dale Cooper
Scott Walker
Catherine Clement
Colm Toibin
Joe Weber
Caleb Carr
Stephen Baxter
Augusten Burroughs
Mark Dunn
William Carpenter
David Eddings
BELVA PLAIN
John Case
Donna Woolfolk Cross
JON KRAKAUER
Jon Krakauer
Mark Haddon
Michael Ryan
Robert K. Tanenbaum
Judi Lawson Wallace
Grierson
Peter J. D'Adamo
Helene Wiggin
Ira Levin
Norman Lindsay
Christina Lamb
Crichton Michael
Nancy Creagh Phelan
CHRIS BOHJALIAN
M. Scott Peck
M. M. Kaye
Sharon Creech
Christian Jacq
Dean Devlin
Dean Marney
Justine Ettler
Margaret Wise Brown
Shel Arensen
Amanda McKay
Carl Djerassi
Nuala O'Faolain
Lee Strobel
Sally Rains
various authors
Osuntoki
Burton Raffel
Terry McMillan
Don Lassiter
Jimmy Stewart
KEN WILBER
Bill Cosby
Ruth Gordon
Flannery O'Connor
Adrian Mitchell
Donald A. Davis
Leslie Marmon Silko
Robert S. Root-Bernstein
Joe Marcus
Dorothea Benton Frank
Agatha Christie
Anita Brookner
Beverly Jenkins
Daniel Hecht
Anita Daher
Stephen R. Lawhead
Robin A. White
Stephen White
Jeffrey Archer
Guy De Maupassant
Jonathan Kellerman
Robert Charles Wilson
Gilles Deleuze
Peter Weber
Thomas Gifford
Oscar Hijuelos
Taiping Shangdi
Harald Schmidt
Arman Danesh
Emma Callery
Donald Beman
Guinness Media Inc.
Adam Brate
Bob Levis
Maurice Gran
J Smith
CHERIE CARTER-SCOTT
Mark Victor Hansen
LENNART NILSSON
Courtland L. Bovee
David Freemantle
Sandra  Waddock
V.K. Narayanan
Michael Mische
Ann Douglas
Fergus Kelly
Norman Mailer
Geoff Ryman
Graham Greene
Gaston Leroux
Karlfried Durckheim
Stephanie Coontz
Laure Redmond
Donna Tartt
Lynda Barry
Fernando Iwasaki Cauti
Rafael Reig
Laurent Jouvet
Francesca Lia Block
Carol Higgins Clark
Andrew Pyper
Robert Atkins
Wendy Orr
Amy Ephron
Susan Vreeland
Alan Cumming
Christopher Russo
ANDREA DI ROBILANT
Alan Epstein
Federico Andahazi
Salley Vickers
RUSSELL MARTIN
Roger D. Masters
Andy Meisler
Ross King
MARC BROWN
Writer's Digest Books
Elaine Weinmann
Charles Sheffield
Lois McMaster Bujold
Iain Pears
John Barnes
JEAN M. AUEL
Joan Cleveland
"Wilson, III Simmons"
Sherwood Kiraly
Frank Decaro
Robert Ludlum
Oliver Sacks
Virginia Woolf
Junko Wada
Diane Wolkstein
Alice Garrard
Janet Fitch
Pat Rodegast
Richard Dalby
William Hoffman
David Foster Wallace
Dav Pilkey
Clive James
Chuck Logan
Patrick Suskind
James Rollins
Minette Walters
FANNIE FLAGG
WILLIAM FAULKNER
Joseph Lederer
Joan Wolf
Dana Stabenow
R.D. Lawrence
John Updike
Tiffanie DeBartolo
Ryszard Kapuscinski
Kent Anderson
Rampa Lobsang
WILLIAM BERNHARDT
Ben Bova
Naomi Shihab Nye
Daniel Quinn
David J Tacey
Todd James Pierce
Kathleen Ann Goonan
Jeanette Winterson
Valerie Tripp
Christof Lees
John Saul
Val McDermid
Julie Garwood
Madeleine L'Engle
ANN PACKER
Gregory Frost
Larry Millett
Vilhelm Moberg
Gail Diven
Stephen Alter
Terri Windling
Michael Moorcock
Vikram Chandra
Chitra Banerjee Divakaruni
Bill Slavicsek
Richard L. Anderson
Jean Paul Sartre
Sara Pritchard
Ursula K. Le Guin
Neal Stephenson
Amit Chaudhuri
ROSALIND MILES
Stanley Gordon West
Sarah Caudwell
Irvine Welsh
Nelson DeMille
Phyllis Gotlieb
Dianna L. Paxson
Gail Godwin
Wynema McGowan
RICHARD WAGAMESE
Robert Haas
Wilma Yeo
Scott
Jayne Castle
Deric Longden
J. D. Robb
Katy Munger
Alex Dingwall-Main
Tony Buzan
Jose Luis Sampedro
Lawrence Durrell
Octavia E. Butler
Gloria Naylor
Mary Pipher
John O'Donohue
Jonathan D. Spence
Janet Kessel Fletcher
Roddy Doyle
Rita Golden Gelman
Alfred Huang
