Book-Author
Mark P. O. Morford
Richard Bruce Wright
Carlo D'Este
LEWIS GRIZZARD
Paul Theroux
Lewis Grizzard
Charles Hickey
Stephen King
Ben Mezrich
Bill Hand
Tom Clancy
DANA REEVE
Roy
Barbara Metzger
Gabriel Garcia Marquez
Rebecca Wells
Tony Hillerman
Robert James Waller
Rachel Harris
IAN MCEWAN
Michael Lewis
Richard Zimler
Norman Jetmundsen
Lorenzo Carcaterra
Anne Frasier
Kay Hooper
Soren Kierkegaard
Jose Ortega Y Gaset
Daphne Du Maurier
Nathaniel Hawthorne
Nick Page
Laura Wolf
LOIS DUNCAN
Susan Grant
Barbara Vine
Shirley Rousseau Murphy
Jane Lindskold
Betty Smith
Cybill Shepherd
Stewart O'Nan
David Baldacci
Douglas Adams
Mary Lawson
Willa Cather
Olivia Goldsmith
Helen Fielding
Franklin W. Dixon
Lilian Jackson Braun
Holly Virden
H. Norman Wright
Piers Anthony
RAY BRADBURY
Schiller
Ray Bradbury
Raymond Chandler
Paolo Coelho
Fay Weldon
Arabella Weir
Kiana Davenport
Sue Townsend
Renan Demirkan
Michael Moore
Jonathan Franzen
Jerome D. Salinger
James Joyce
Joanna Trollope
Milan Kundera
Arundhati Roy
Robert S. Levinson
Lorna Landvik
Arthur Golden
KENT HARUF
Patricia D. Cornwell
Carol J. Farley
Kathleen E. Woodiwiss
Belva Plain
MARK HADDON
ANN BRASHARES
Erich Segal
Elizabeth Adler
Nicholas Sparks
JOHN SAUL
LORNA LANDVIK
Steve Thayer
Tracy Chevalier
Judith Kelman
Michael Palmer
Francine Hughes
Norman Bridwell
Frank McCourt
Malachy McCourt
Mari Sandoz
Anne Perry
ALEXANDER MCCALL SMITH
Gregory Maguire
Yann Martel
Ruth Rendell
Al Franken
DONNA TARTT
John Milne
Terry Pratchett
E. B. White
J. M. Barrie
Mary O'Hara
Louise Rennison
Kenneth Grahame
Bernard Cornwell
Charles de Lint
Edward John Moreton Drax Plunkett Dunsany
Georgette Heyer
OSCAR WILDE
Ted Hughes
ROALD DAHL
Donna Jo Napoli
A. S. Byatt
Tanuja Desai Hidier
SOPHIE KINSELLA
Isabel Wolff
Louisa May Alcott
George Orwell
Charles Dickens
Isabel Allende
Ellen Datlow
A.S. BYATT
Joseph Heller
John Galsworthy
Enid Blyton
Neil Gaiman
Alan Moore
Trudy Suggs
Tom Wolfe
Brady Udall
Homer Hickam
Pearl Abraham
Sebastian Junger
Karen Armstrong
Mary Barnard
David Brin
T. Coraghessan Boyle
Paul Woodruff
Lynda Madaras
Stephen McCauley
Isabelle Holland
Pam Conrad
Lurlene McDaniel
Brian Kaufman
John Darnton
Martin Schenk
DAVID EDDINGS
Paul Reiser
David G. Hartwell
Dave Barry
John R. Holt
Theodore Beale
Frank M. Robinson
Mary Jane Clark
Mary Wollstonecraft Shelley
Isabel-Clara SimÃ³
Robert Westall
Robert B. Parker
Rita Chapman Works
A. Manette Ansay
Sarah Waters
Anne Frank
Barry Lopez
Greg Palast
Andrea Kane
Nevada Barr
Paul Auster
Margaret Maron
EDNA BARKER
Muriel Whitaker
John Irving
Golding
HarperReference
LTD
Ann Patchett
Roald Dahl
Sue Monk Kidd
Bob Thiele
Colleen McCullough
Joanne Harris
Thomas Cahill
Michael Hudson
Jane Smiley
Dick Francis
Nora Roberts
Jean Marzollo
Walter Wick
Barbara Delinsky
P. D. James
Arthur William Upfield
Christopher Rice
Rex Stout
Joan Anderson
Vance Havner
Warren W. Wiersbe
Max Lucado
Lawrence J Crabb
Barry Neil Kaufman
Bob Sjogren
Frederick J. Moody
Neal Pirolo
William Sleator
Antoine de Saint-ExupÃ©ry
Richard Bach
Kevin Sullivan
Michele Morgan
"Scott, Cunningham"
David Allen Hulse
Richard Webster
Bernard King
Pat Hutchins
William Shakespeare
Melissa McClone
Cheryl St. John
Lewis Carroll
Mark Twain
Dog Mary Crow
Linda Gordon
Florence King
Alice Sebold
Spalding Gray
Thomas Harris
EDWARD RUTHERFURD
Margaret Atwood
Dorothy Allison
MAYA ANGELOU
Edith Wharton
Mary Brave Bird
John G. Neihardt
Roland Warren
Johnny Molloy
James McCourt
Elizabeth Wurtzel
Bill Bradley
Don Miguel Ruiz
Luis Racionero
Eugeni Perea SimÃ³n
Thomas Hauser
VicenÃ§ Villatoro
VÃ­ctor Mora
Elena Castedo
OfÃ¨lia Dracs
Antoni Serra
M. Carme Junyent
Jaume CapÃ³
MÃ rius Serra
Ferran Torrent
Joan Agut
Carmen Rico-Godoy
Maria JaÃ©n
Paul Lester
Leo Tolstoy
Simon Nye
Robert A Johnson
Horacio Vazquez-Rial
Marc Gascoigne
Stephanie Maze
Sandra Dallas
Anne McCaffrey
David Gemmell
Laura Zigman
Margaret Truman
Nic Kynaston
Paula Danziger
Richard A. Lupoff
Carrie Bebris
Ellen Carol Dubois
Candice F. Ransom
Sam Bobrick
Donna K Grosvenor
NATHANIEL HAWTHORNE
Valerie Block
Luanne Rice
Ellen Gilchrist
JOHN IRVING
TIM GAUTREAUX
Richard Russo
Jostein Gaarder
ANNA QUINDLEN
Diane Johnson
DEAN KOONTZ
Wally Lamb
Adeline Yen Mah
Barbara Ehrenreich
DOROTHY DUNNETT
JOHN LE CARRE
A. C. Gordon
Emily Dickinson
Hazel Harrison
Joseph Girzone
JOSEPH GIRZONE
Lorraine Anderson
AD HUDLER
Josephine Carlton
Ted L. Nancy
Francis Wheen
Joyce Reardon
Sidney Sheldon
Christopher Moore
Robert Lacey
Tim Dorsey
JODI COMPTON
Elmore Leonard
Lynn Coady
John Lawton
Eileen Yin-Fei Lo
Tilden H. Edwards
Vikram Seth
Elizabeth Gaskell
Anita Diamant
Lauren Haney
Gerald Stern
Patricia Daniels Cornwell
Martha Grimes
Henry James
Sarah Orne Jewett
William Carlos Williams
Anthony Trollope
Harry Kemelman
Mil Millington
Suzanne G. Farnham
Czeslaw Milosz
Margaret Guenther
Roberto Juarroz
Akiba Rubinstein
Emma McLaughlin
P Coelho
Elena Ferrante
Paul Jennings
"Mark E., Jr. Neely"
Stephen J. Weininger
Larry Katzenstein
David Steinman
Alfie Kohn
Paula Polk Lillard
David Lewis
Billie Livingston
Adele Lang
Jen Banbury
Catherine Coulter
Dominick Dunne
Clive Cussler
John Pascal
Carl Hiaasen
Jonathan Safran Foer
Francesca Marciano
JULIA GLASS
Tawni O'Dell
Jennifer Weiner
Danielle Steel
Leon Hale
Russell Banks
Samuel Taylor Coleridge
Bradley Warshauer
Bobbie Ann Mason
Karen Robards
Emma Lathen
Faye Kellerman
Jacquelyn Mitchard
JANE SMILEY
DIANE MOTT DAVIDSON
Candace Bushnell
KRISTIN HANNAH
Michael Marshall
Allen Widome
Wilbur Smith
Mike Thaler
Michael Slade
John Sandford
TAMI HOAG
Ted Dekker
Angela Elwell Hunt
C. S. Lewis
William Eisner
Robin Cook
E. LYNN HARRIS
Linda Goodman
ANNE RICE
Anne Rice
Judith Rossner
Marilyn French
Wayne W. Dyer
Armistead Maupin
Julie Morgenstern
Peter Straub
Jack
Barbara Taylor Bradford
Lisa Jackson
SHARYN MCCRUMB
Cokie Roberts
Shana Corey
Jesse S. Ostrow
Justine Korman
PATRICIA REILLY GIFF
Beverly Cleary
K. A. Applegate
Jane Yolen
Dinah L. Moche
Marvin Miller
Craig Boldman
H. G. Wells
Bobbie Kalman
Mercedes Lackey
Dorothy Gilman
Moveon
Christopher Finch
CHARLES FRAZIER
Julia Spencer-Fleming
Fannie Flagg
Laura Ingall Wilder
LISA GARDNER
Gertrude Chandler Warner
Lynn S. Hightower
Sharyn McCrumb
Eric Schlosser
Suzanne Brockmann
Gail Carson Levine
FRANCES KUFFEL
Susan Conant
DAVID SCHICKLER
Judith McNaught
Janet Evanovich
Sylvia Plath
Ilona Koidahl
Fern Michaels
Betsy Byars
Bruce Sterling
Sarah Ban Breathnach
Alice Hoffman
Lisa Scottoline
Spencer Johnson
Ian McEwan
David Feldman
Richard Bausch
Katie Fforde
James Burke
Bliss Broyard
Sara Paretsky
Charles Webb
Elizabeth Benedict
Stanley Morison
Henry Miller
David Whyte
Warren  Bennis
Martha Beck
Desmond Mpilo Tutu
Kris Shepard
Jack Kerouac
Martin Buber
NiccolÃ² Machiavelli
Gianfranco Bettin
Paul Monette
Ernest Hemingway
Melody Carlson
Alisa Kwitney
Billie Letts
Melissa Bank
Rena Kornreich Gelissen
Moon Unit Zappa
Ted Mooney
Susan Wiggs
Gwyn Hyman Rubio
Elisabeth Robinson
Audrey Niffenegger
Tim Farrington
Chaim Potok
Scott Spencer
V. S. Naipaul
V.S. Naipaul
Jean Giono
Alain-Fournier
Erich Maria Remarque
Lewis
Rene Barjavel
Alexandra David-NÃ?Â©el
C. Baudelaire
Raymond Radiguet
Emile Zola
Pergaud
Collectif
Sten Nadolny
Cheryl Benard
Christa Wichterich
John. Blofeld
Christine Obbo
Peter B Heim
Hera Lind
Jane Hamilton
Jack Higgins
Max Allan Collins
David Guterson
Bernhard Schlink
Eric Jerome Dickey
Patricia Gaffney
Richard Paul Evans
Marc Levy
Laney Katz Becker
VLADIMIR NABOKOV
Jennifer Lauck
Joe Keenan
Jeanne Ray
Tony Parsons
Jane McCafferty
Laura Esquivel
J.R.R. TOLKIEN
Venise T. Berry
Jan Karon
Cormac McCarthy
Travis Thrasher
John McEnroe
Sally Mandel
Linda Lay Shuler
Janet Dailey
Claude Lanzmann
Lemony Snicket
Matthew Thomas
Boris Vian
Luis SepÃ?Âºlveda
Hubert Selby
Jacob Weisberg
David Lodge
Judy Hamilton
Philip Ardagh
Iain Banks
David Crombie
John Steinbeck
Michael O'Mara
Richard Brassey
Jean Van Hamme
R. W. Holder
Valerie Ferguson
Bernard Werber
Andy Sloss
ALLAN ZOLA KRONZEK
Charles L. Squire
Gordon Jarvie
Alan Spence
Helene Siegel
E.H. Shepard
Alan Alexander Milne
Eric Thompson
Elizabeth Strout
David Sedaris
Leslie Feinberg
Chris Anne Wolfe
Lauren Sanders
Gael Baudino
Lauren Maddison
Carol Anshaw
Jean Stewart
Emma Donoghue
Deborah McDowell
Karen X. Tulchinsky
Jill Thompson
Jody Seay
Manda Scott
Jeff Foxworthy
Terry Brooks
A.C. Crispin
A. C. Crispin
Madelyn Arnold
Tamora Pierce
Carolyn Chute
Sara Orwig
Melisa Michaels
Isobel Bird
Frederik Pohl
VONDA MCINTYRE
John Varley
Nancy Garden
Nicola Griffith
Julie Campbell
LEE SMITH
JACQUELINE WOODSON
Jacqueline Woodson
Pat Head Summitt
Richard Belzer
Nick Hornby
Andrew L. Johnson
Marian Babson
W. Michael Gear
Paul Phifer
Peter Hoeg
Erma Bombeck
Roberto Vecchioni
John Mortimer
E. L. Doctorow
Simon Schama
Frank Waters
Karen Hesse
Kenneth Oppel
Carol Ryrie Brink
Shelly R. Roberts
Diane Duane
Carolee Brockmann
Rachel Roberts
Lensey Namioka
Jackie Eileen Behrend
Andrew Clements
LOIS LOWRY
Paul Hattaway
Alain Stella
Milena Moser
Patricia Highsmith
Stephen Donaldson
STEPHEN R. DONALDSON
Ellen Rimbauer
Todd Herzog
John Borneman
ROBERT S. MCELVAINE
Bram Stoker
Michael A. Stackpole
Langston Hughes
Carol Matthews
Carole Matthews
Jacqueline L. Tobin
Marion Zimmer Bradley
Andrei Codrescu
Carolyne Aarsen
Louis L'Amour
Jack Chapman
Anthony J Alessandra
Charles R. Swindoll
Orson Scott Card
V. A Howard
Walter P. Wilson
Bruce Fries
"Rush H., III Limbaugh"
Anne Dingus
Kate Chopin
Kirk Kazanjian
Donald Merriam Allen
William Maples
Carl Hausman
Richard Peck
Michael Connelly
John T. Lescroart
John Jakes
Alice McDermott
Hilary Bailey
Howard Fast
Jessica Fletcher
RICHARD NORTH PATTERSON
Eileen Goudge
DANIELLE STEEL
Arnette Lamb
WALTER CRONKITE
Tom Mula
Lois Faye Dyer
Sharon Lamb
Sir Arthur Conan Doyle
AGATHA CHRISTIE
Mark Cohen
Sherry Shahan
Helen Myers
Della Rowland
Irving. Adler
Elizabeth Peters
Shirlee Busbee
EMILY BRONTE
Frank E. Peretti
John A. Keel
Stefanie Scott
Rebecca Winters
