User-ID,Location,Age
463,"rouse hill, new south wales, australia",20.0
469,"corona, california, usa",18.0
472,"livingston, new jersey, usa",
475,"vancouver, british columbia, canada",34.0
476,"rome, new york, usa",
479,"iowa city, iowa, usa",
483,"shelton, washington, usa",72.0
486,"portland, oregon, usa",31.0
487,"houston, texas, usa",
489,"cape girardeau, missouri, usa",
493,"manhattan, kansas, usa",29.0
494,"parry sound, ontario, canada",
496,"west salem, wisconsin, usa",51.0
499,"la verne, california, usa",62.0
500,"san antonio, texas, usa",17.0
501,"richmond, virginia, usa",
503,"el centro, california, usa",40.0
505,"washington, dc, usa",51.0
507,"dumas, arkansas, usa",
508,"portland, oregon, usa",29.0
512,"winter springs, florida, usa",58.0
513,"savannah, georgia, usa",
516,"seattle, washington, usa",
523,"bozeman, montana, usa",19.0
530,"moab, utah, usa",47.0
537,"davis, california,",
538,"perryville, missouri, usa",26.0
542,"fort worth, texas, usa",
547,"presque isle, maine, usa",
558,"burnaby, ,",
559,"pulaski, virginia, usa",
565,"franklin, tennessee, usa",48.0
566,"springfield, illinois, usa",
567,"spokane, washington, usa",
569,"lahore, punjab, pakistan",28.0
585,"milano, lombardia, italy",
592,"boston, massachusetts, usa",
595,"hollywood, florida, usa",17.0
596,"san francisco, california, usa",49.0
602,"forest grove, oregon, usa",23.0
618,"providence, rhode island, usa",
619,"long beach, mississippi, usa",
620,"toronto, ontario, canada",45.0
625,"marseille, provence, france",41.0
626,"graz, steiermark, austria",41.0
628,"berlin, berlin, germany",
638,"san diego, california, usa",20.0
639,"washington dc, virginia, usa",
640,"scotch village, nova scotia, canada",
641,"portland, oregon, usa",
643,"grenoble, rhone-alpes, france",23.0
645,"ottawa, ontario, canada",
649,"san diego, california, usa",
650,"santa cruz, california, usa",
651,"interlachen, florida, usa",26.0
657,"chattanooga, tennessee, usa",
660,"ny, new york, usa",
677,"baton rouge, louisiana, usa",27.0
683,"union, illinois, usa",28.0
685,"stevens point, wisconsin, usa",21.0
695,"alphen aan den rijn, zuid holland, netherlands",
698,"palo alto, california, usa",
701,"mountain view, california, usa",31.0
705,"asti, piemonte, italy",
707,"san antonio, texas, usa",
708,"duluth, minnesota, usa",
709,"roanoke, virginia, usa",14.0
711,"oxford, england, united kingdom",27.0
712,"pratteln, baselland, switzerland",29.0
713,"abingdon, n/a, united kingdom",49.0
714,"austin, texas, usa",
717,"spring hill, florida, usa",
720,"washington dc, dc, usa",16.0
724,"jamestown, california, usa",
726,"eatontown, new jersey, usa",31.0
728,"welsh, louisiana, usa",
730,"albuquerque, new mexico,",69.0
735,"cortland, new york, usa",29.0
736,"trebur, hessen, germany",34.0
737,"albuquerque, new mexico, usa",
739,"oakdale, minnesota, usa",55.0
741,"novinger, missouri, usa",16.0
778,"bradenton, florida, usa",
780,"woodland hills, california, usa",
805,"sonoma, california, usa",34.0
819,"deer park, new york, usa",
843,"deer lodge, tennessee, usa",25.0
882,"berkeley, california, usa",23.0
885,"jacksonville, texas, usa",
899,"bielefeld, nordrhein-westfalen, germany",23.0
900,"scranton, pennsylvania, usa",25.0
901,"worcester, worcestershire, united kingdom",21.0
915,"humble, texas, usa",50.0
929,"king of prussia, ,",36.0
970,"sydney, new south wales, australia",15.0
989,"san antonio, texas, usa",33.0
1008,"boston, massachusetts, usa",
1025,"maidstone, england, united kingdom",33.0
1031,"sparks, maryland, usa",52.0
1032,"lockhart, texas, usa",
1075,"hurst, texas, usa",49.0
1100,"saskatoon, saskatchewan, canada",24.0
1111,"london, ontario, canada",
1113,"richmond, missouri, usa",22.0
1118,"cleveland, , usa",
1129,"bothell, washington, usa",53.0
1131,"berkeley, ,",22.0
1140,"bridgewater, new jersey, usa",19.0
1155,"smyrna, georgia, usa",22.0
1161,"brier, washington, usa",
1167,"milwaukee, wisconsin, usa",25.0
1184,"la mirada, california, usa",38.0
1211,"rennes, bretagne, france",22.0
1235,"salt spring island, british columbia, canada",
1261,"el paso, texas, usa",46.0
1343,"bishop auckland, england, united kingdom",33.0
1372,"frankfurt, hessen, germany",34.0
1376,"peoria, illinois, usa",
1395,"santa monica, california, usa",
1409,"farmington hills, michigan, usa",74.0
1410,"amherst, new york, usa",22.0
1412,"winston-salem, north carolina, usa",47.0
1424,"north avoca, new south wales, australia",
1435,"st. louis, missouri, usa",36.0
1486,"montmorency, victoria, australia",75.0
1511,"cuyahoga falls, ohio, usa",25.0
1530,"hartsdale, new york, usa",26.0
1548,"brooklyn, new york, usa",28.0
1559,"manchester, new hampshire, usa",
1596,"jackson, tennessee, usa",51.0
1608,"collingswood, new jersey, usa",27.0
1619,"visalia, california, usa",
1650,"victoria, british columbia, canada",
1652,"new york, new york, usa",
1660,"fort worth, texas, usa",
1674,"minneapolis, minnesota, usa",26.0
1725,"palma, illes balears, united kingdom",25.0
1733,"independence, west virginia, usa",30.0
1773,"northridge, california, usa",16.0
1792,"hutchinson, kansas, usa",
1797,"paris, paris, france",
1803,"northville, new york, usa",48.0
1805,"euless, texas, usa",
1848,"bellingham, washington, usa",22.0
1863,"feucht, bayern, germany",43.0
1903,"hualien, taiwan, taiwan",36.0
1928,"kansas city, missouri, usa",17.0
2010,"colfax, illinois, usa",
2012,"bray, wicklow,",34.0
2019,"carcavelos, n/a, portugal",29.0
2041,"playa del rey, california, usa",
2046,"philadelphia, missouri, usa",22.0
2087,"austin, texas, usa",
2103,"minneapolis, minnesota, usa",43.0
2110,"charlotte, north carolina, usa",
2115,"escondido, california, usa",55.0
2116,"parrsboro, nova scotia, canada",
2139,"chesapeake, virginia, usa",33.0
2152,"grosse pointe, michigan, usa",1.0
2179,"sunderland, massachusetts, usa",30.0
2183,"burnaby, british columbia, canada",
2204,"el cajon, california, usa",
2268,"coruña, galicia, spain",22.0
2275,"prescott, arizona, usa",22.0
2276,"niskayuna, new york, usa",46.0
2288,"spring hill, tennessee, usa",30.0
2308,"florence, ,",21.0
2313,"cincinnati, ohio, usa",23.0
2316,"london, n/a, united kingdom",
2333,"ocean city, maryland, usa",
2337,"grove city, ohio, usa",34.0
2358,"bryan, texas, usa",23.0
2366,"lathrup village, michigan, usa",16.0
2375,"norfolk, virginia, usa",20.0
2386,"pittsboro, north carolina, usa",40.0
2388,"hawley, pennsylvania, usa",64.0
2411,"lake city, florida, usa",37.0
2417,"lakeland, florida, usa",35.0
2462,"kingston, , usa",
2499,"boulder, colorado, usa",49.0
2528,"the colony, texas, usa",
2529,"victoria, british columbia, canada",
2580,"ann arbor, michigan, usa",
2630,"kingsland, texas, usa",66.0
2632,"farmingdale, new york, usa",47.0
2638,"burnaby, british columbia, canada",
2700,"kenosha, wisconsin, usa",29.0
2719,"staten island, new york, usa",37.0
2738,"milano, lombardia, italy",32.0
2766,"frisco, texas, usa",42.0
2770,"champaign, illinois, usa",
2771,"lake orion, michigan, usa",56.0
2790,"san antonio, texas, usa",50.0
2793,"jefferson, georgia, usa",34.0
2830,"adelaide, south australia, australia",13.0
2854,"deptford, new jersey, usa",36.0
2855,"dallas, texas, usa",35.0
2859,"citrus heights, california, usa",
2891,"beaverton, oregon, usa",
2907,"new york, new york, usa",
2933,"seattle, washington, usa",
2954,"wichita, kansas, usa",71.0
2977,"richland, washington, usa",25.0
2982,"montreal, quebec, canada",34.0
2992,"san diego, california, usa",
3005,"mountain view, california, usa",
3009,"stratford, connecticut, usa",
3017,"roma, lazio, italy",
3020,"virginia beach, virginia, usa",37.0
3026,"kuala lumpur, kuala lumpur, malaysia",
3032,"sydney, new south wales, australia",40.0
3054,"henrietta, new york, usa",
3079,"asheville, north carolina, usa",
3093,"belle plaine, iowa, usa",46.0
3099,"umeå, västerbotten, sweden",
3104,"watertown, massachusetts, usa",27.0
3145,"austin, texas, usa",34.0
3148,"indianapolis, indiana, usa",
3154,"new york, new york, usa",
3167,"milwaukee, wisconsin, usa",42.0
3192,"milwaukee, wisconsin, usa",
3261,"lenexa, ,",42.0
3282,"didsbury, alberta, canada",52.0
3310,"tucson, arizona, usa",
3329,"grantsville, utah, usa",
3331,"mckeesport, pennsylvania, usa",60.0
3344,"tucson, arizona, usa",61.0
3346,"tehran, tehran, iran",20.0
3350,"colorado springs, colorado, usa",23.0
3363,"knoxville, tennessee, usa",29.0
3371,"groveland, massachusetts, usa",25.0
3373,"elk grove, california, usa",30.0
3422,"gawler east, south australia, australia",14.0
3427,"eldorado, illinois, usa",50.0
3454,"dallas, texas, usa",36.0
3509,"san diego, california, usa",29.0
3538,"madrid, madrid, spain",31.0
3542,"jersey city, new jersey, usa",
3543,"elgin, texas, usa",37.0
3556,"bismarck, north dakota, usa",68.0
3569,"n/a, n/a, usa",
3593,"lahaina, hawaii, usa",
3628,"easthampton, massachusetts, usa",
3640,"sacramento, california, usa",
3652,"levallois-perret, ile-de-france, france",16.0
3659,"toronto, ,",
3669,"williamsburg, massachusetts, usa",34.0
3675,"barcelona, catalunya, spain",24.0
3694,"raleigh, north carolina, usa",16.0
3752,"langenthal, bern, switzerland",44.0
3757,"madrid, madrid, spain",
3761,"san diego, california, usa",
3821,"scottdale, pennsylvania, usa",36.0
3827,"orlando, florida, usa",23.0
3839,"broomfield, colorado, usa",
3840,"meriden, connecticut, usa",46.0
3879,"cliffside park, new jersey, usa",40.0
3886,"whitby, ontario, canada",
3917,"toronto, ontario, canada",25.0
3923,"vienna, ,",
3935,"cannon falls, minnesota, usa",
3948,"asheville, north carolina, usa",
3977,"columbiana, alabama, usa",63.0
3991,"monroe, new york, usa",30.0
3999,"new braunfels, texas, usa",71.0
4017,"new orleans, louisiana, usa",48.0
4024,"nixa, missouri, usa",
4041,"alamogordo, new mexico, usa",45.0
4059,"portland, ,",
4091,"estill springs, tennessee, usa",77.0
4092,"hixson, tennessee, usa",27.0
4098,"mei foo, kowloon, hong kong",30.0
4131,"hemel hempstead, england, united kingdom",51.0
4144,"winnipeg, manitoba, canada",31.0
4149,"highland, utah, usa",
4157,"birmingham, alabama, usa",39.0
4164,"anchorage, alaska, usa",
4169,"fairbanks, alaska, usa",57.0
4185,"graham, washington, usa",63.0
4215,"regensburg, bavaria, germany",
4221,"n/a, connecticut, usa",
4225,"ottawa, ontario, canada",33.0
4228,"austin, texas, usa",41.0
4243,"wheelers hill, victoria, australia",52.0
4285,"adrian, michigan, usa",50.0
4334,"rome, lazio, italy",38.0
4365,"victoria, british columbia, canada",19.0
4370,"kingston, ontario, canada",46.0
4376,"tuebingen, baden-wuerttemberg, germany",
4385,"albq, new mexico, usa",33.0
4431,"lewisville, texas, usa",
4435,"roma, lazio, italy",30.0
4514,"vila nova de famalicão, braga, portugal",23.0
4541,"atlanta, georgia, usa",32.0
4556,"south berwick, maine, usa",
4571,"melbourne, victoria, australia",23.0
4600,"little rock, arkansas, usa",32.0
4622,"norfolk, virginia, usa",18.0
4694,"buenos aires, buenos aires, argentina",48.0
4781,"manchester, new hampshire, usa",47.0
4784,"arvada, colorado, usa",21.0
4785,"litchfield, connecticut, usa",30.0
4794,"albuquerque, new mexico, usa",14.0
4795,"rochester, new york, usa",18.0
4802,"london, england, united kingdom",28.0
4821,"lagrangeville, new york, usa",44.0
4854,"port hope, ontario, canada",
4864,"atascadero, california, usa",30.0
4878,"mt.pleasant, south carolina, usa",
4900,"washington, dc,",26.0
4938,"charleston, south carolina, usa",30.0
4954,"portland, oregon, usa",
5003,"snohomish, washington, usa",
5012,"san francisco, california, usa",21.0
5037,"dodge center, minnesota, usa",26.0
5049,"inver grove heights, minnesota, usa",32.0
5091,"swieqi, n/a, malta",
5101,"montreal, quebec, canada",
5126,"chula vista, california, usa",53.0
5153,"matosinhos, porto, portugal",31.0
5158,"lyon, rhone, france",21.0
5170,"newark, california, usa",18.0
5204,"lyon, rhône-alpes, france",24.0
5209,"medford, new jersey, usa",48.0
5264,"hannover, niedersachsen, germany",
5268,"chandler, arizona, usa",
5273,"los angeles, california, usa",
5275,"troy, ontario, canada",
5287,"ottawa, ontario, canada",22.0
5296,"brooklyn, new york, usa",34.0
5331,"hull, england, united kingdom",26.0
5333,"rotterdam, rotterdam, netherlands",49.0
5351,"new plymouth, taranaki, new zealand",74.0
5358,"richardson, texas, usa",52.0
5375,"placerville, california, usa",47.0
5439,"houston, texas, usa",66.0
5471,"barcelona, catalunya, spain",60.0
5476,"chester, ,",
5479,"statesboro, georgia, usa",27.0
5483,"bayan lepas, penang, malaysia",20.0
5499,"lakeland, tennessee,",60.0
5506,"cortlandt manor, new york, usa",19.0
5539,"austin, texas, usa",32.0
5543,"cumberland, maryland, usa",29.0
5555,"perigny, poitou-charentes, france",
5559,"lakeland, florida, usa",37.0
5581,"newtown, new south wales, australia",22.0
5582,"seattle, washington, usa",26.0
5600,"dallas, texas, usa",
5604,"hattenhofen, bayern, germany",48.0
5609,"oradea, bihor, romania",25.0
5635,"new york, new york, usa",26.0
5638,"binghamton, new york, usa",
5669,"chicago, illinois, usa",
5709,"bayan lepas, penang, malaysia",15.0
5710,"austin, texas, usa",28.0
5722,"providence, rhode island, usa",23.0
5727,"plymouth, minnesota, usa",
5728,"cullowhee, north carolina, usa",22.0
5737,"newcastle, washington, usa",44.0
5760,"springfield, ,",19.0
5766,"powder springs, georgia, usa",40.0
5774,"dallas, texas, usa",32.0
5783,"fullerton, california, usa",32.0
5815,"rockville, maryland, usa",
5850,"seattle, ,",
5899,"ulm, baden-wuerttemberg, germany",25.0
5902,"columbia, illinois, usa",49.0
5903,"vienna, vienna, austria",25.0
5916,"vermont, victoria, australia",31.0
5922,"bozeman, montana, usa",19.0
5942,"harrisburg, missouri, usa",
5956,"indianapolis, indiana, usa",27.0
5998,"seattle, washington, usa",32.0
6007,"ajax, ontario, canada",
6018,"chapel hill, north carolina, usa",38.0
6022,"baton rouge, louisiana, usa",18.0
6026,"bangor, maine, usa",
6069,"frederick, maryland, usa",
6073,"houston, texas, usa",28.0
6081,"bellingham, washington, usa",
6095,"elmore city, oklahoma, usa",19.0
6102,"jamaica, , usa",28.0
6107,"haltern am see, nordrhein-westfalen, germany",32.0
6120,"elizabethtown, kentucky, usa",36.0
6135,"littleton, colorado, usa",
6140,"n/a, ontario, canada",26.0
6217,"eugene, oregon, usa",
6238,"silsden, keighley, west yorkshire, united kingdom",38.0
6242,"calgary, alberta, canada",
6247,"memphis, tennessee, usa",26.0
6251,"wahiawa, hawaii, usa",32.0
6254,"enfield, connecticut, usa",
6280,"a coruña, , spain",46.0
6306,"charleston, west virginia, usa",60.0
6318,"ann arbor, michigan, usa",24.0
6323,"wilmington, north carolina, usa",35.0
6330,"letchworth garden city, england,",37.0
6333,"san jose, california, usa",45.0
6336,"almonte, ontario, canada",41.0
6339,"christchurch, n/a, new zealand",16.0
6345,"lake geneva, wisconsin, usa",29.0
6366,"madrid, madrid, spain",20.0
6368,"spartanburg, south carolina, usa",26.0
6394,"mill creek, washington, usa",43.0
6401,"aloha, oregon, usa",
6424,"huntsburg, ohio, usa",
6431,"wylie, texas, usa",30.0
6472,"waldorf, maryland, usa",31.0
6501,"monterey, california, usa",25.0
6505,"topeka, kansas, usa",56.0
6507,"san sebastián, guipúzcoa, spain",26.0
6535,"lisbon, lisbon, portugal",26.0
6537,"norfolk, ,",28.0
6543,"strafford, missouri, usa",34.0
6563,"burien, washington, usa",31.0
6564,"lisboa, estremadura, portugal",37.0
6566,"port angeles, washington, usa",
6575,"seattle, washington, usa",
6577,"coral springs, florida, usa",62.0
6604,"vallejo, california, usa",48.0
6611,"oradea, n/a, romania",22.0
6637,"las vegas, nevada, usa",30.0
6670,"union, new jersey, usa",54.0
6671,"altoona, wisconsin, usa",54.0
6679,"myrtle beach, south carolina, usa",
6680,"walled lake, michigan, usa",17.0
6689,"east lansing, michigan, usa",
6698,"orlando, florida, usa",20.0
6704,"san francisco, california, usa",32.0
6731,"buford, georgia, usa",29.0
6772,"calgary, ,",
6778,"addison, texas, usa",
6789,"boise, idaho, usa",
6795,"portland, oregon, usa",31.0
6796,"chesapeake, virginia, usa",21.0
6815,"indianapolis, indiana, usa",24.0
6854,"fort pierce, florida, usa",
6866,"paris, ile de france, france",51.0
6867,"wellfleet, massachusetts, usa",23.0
6871,"raleigh, north carolina, usa",28.0
6900,"sunnyvale, california, usa",25.0
6906,"cedar rapids, iowa, usa",63.0
6910,"bothell, washington, usa",
6912,"reston, virginia, usa",
6958,"durham, north carolina, usa",
6975,"victoria, british columbia, canada",
7050,"westbank, british columbia, canada",
7056,"pickering, ontario, canada",31.0
7078,"brookline, new hampshire, usa",
7079,"aurora, ontario, canada",
7082,"carlisle, pennsylvania, usa",
7105,"chertsey, england, united kingdom",
7112,"bakum, niedersachsen, germany",0.0
7125,"apo, ae, usa",28.0
7134,"bothell, washington, usa",23.0
7158,"omaha, nebraska, usa",30.0
7194,"richmond, virginia, usa",25.0
7210,"rothesay, new brunswick, canada",
7228,"redondo beach, california, usa",
7246,"st. louis, missouri, usa",45.0
7253,"augusta, georgia, usa",32.0
7266,"niagara falls, new york, usa",
7283,"saint marys, georgia, usa",30.0
7286,"pasco, washington, usa",28.0
7301,"worcester, massachusetts, usa",25.0
7306,"carpinteria, california, usa",29.0
7316,"coralville, iowa, usa",
7318,"muskegon, michigan, usa",34.0
7319,"pittsburgh, pennsylvania, usa",23.0
7338,"roswell, georgia, usa",33.0
7341,"half moon bay, california, usa",
7346,"sunnyvale, california, usa",49.0
7352,"houston, texas, usa",53.0
7364,"ithaca, new york, usa",26.0
7378,"santa cruz, california, usa",
7404,"cambridge, massachusetts, usa",
7409,"west vancouver, british columbia, canada",
7424,"brooklyn, new york, usa",32.0
7426,"la, california, usa",
7509,"manhattan beach, california, usa",
7515,"canberra, australian capital territory, australia",45.0
7523,"st. louis, missouri, usa",35.0
7528,"arlington heights, illinois, usa",
7569,"tulsa, , usa",22.0
7620,"knoxville, tennessee, usa",21.0
7651,"olive branch, mississippi, usa",21.0
7721,"adelaide, south australia, australia",
7736,"richmond, california, usa",
7769,"washington, dc, usa",30.0
7809,"seattle, washington, usa",
7841,"salt lake city, utah, usa",
7856,"drachten, friesland, netherlands",
7860,"northfield, massachusetts, usa",
7864,"klang, selangor, malaysia",17.0
7874,"damascus, maryland, usa",25.0
7887,"altoona, pennsylvania, usa",23.0
7890,"newport coast, california, usa",
7904,"st. augustin, nordrhein-westfalen, germany",26.0
7913,"mission hills, california, usa",43.0
7915,"st. paul, minnesota, usa",
7941,"carmel, california, usa",
7954,"rockford, michigan, usa",
7958,"oeiras, lisbon, portugal",27.0
8006,"milton, massachusetts, usa",34.0
8019,"toronto, ontario, canada",
8040,"raleigh, north carolina, usa",
8053,"reno, nevada, usa",
8054,"reno, nevada, usa",
8066,"chicago, illinois, usa",
8067,"owings mills, maryland, usa",26.0
8073,"niles, michigan, usa",50.0
8115,"santa rosa, california, usa",
8141,"claremont, california, usa",
8167,"cambridge, ,",39.0
8185,"plattsburgh, new york, usa",
8186,"baltimore, maryland, usa",33.0
8188,"san francisco, california, usa",
8219,"san francisco, california, usa",25.0
8220,"cleveland, tennessee, usa",34.0
8234,"colorado springs, colorado, usa",44.0
8238,"ambridge, pennsylvania, usa",31.0
8240,"lawrenceburg, indiana, usa",50.0
8245,"torrance, california, usa",31.0
8248,"hockessin, delaware, usa",
8250,"carrollton, texas, usa",34.0
8253,"tulsa, oklahoma, usa",26.0
8255,"savage, minnesota, usa",47.0
8263,"philadelphia, pennsylvania, usa",
8268,"dallas, texas, usa",35.0
8313,"warrenville, illinois, usa",36.0
8314,"newark, california, usa",36.0
8317,"mojave desert, california, usa",
8323,"roy, utah, usa",48.0
8361,"melbourne, victoria, australia",23.0
8362,"los angeles, california, usa",28.0
8375,"lisbon, lisbon, portugal",
8453,"berkeley, california, usa",47.0
8454,"auburndale, massachusetts, usa",
8487,"carrollton, texas, usa",30.0
8509,"okemos, michigan, usa",
8529,"logroño, la rioja, spain",
8570,"rochester, new york, usa",23.0
8660,"innsbruck, tirol, austria",25.0
8674,"singapore, n/a, singapore",29.0
8680,"st. charles county, missouri, usa",2.0
8681,"orlando, florida, usa",34.0
8682,"quetzaltenango, western highlands, guatemala",
8685,"marietta, georgia, usa",32.0
8720,"anchorage, alaska, usa",31.0
8734,"chula vista, california, usa",
8772,"halifax, nova scotia, canada",26.0
8780,"santa cruz, california, usa",
8782,"calgary, alberta, canada",239.0
8801,"san francisco, california, usa",24.0
8840,"sidney, british columbia, canada",
8856,"forestville, california, usa",31.0
8858,"hamburg, hamburg, germany",33.0
8860,"lubbock, texas, usa",23.0
8864,"st petersburg, florida, usa",26.0
8870,"austin, texas, usa",45.0
8872,"athens, georgia, usa",65.0
8890,"paris, ile-de-france, france",47.0
8936,"elizabeth city, north carolina, usa",18.0
8937,"murphysboro, ,",37.0
8971,"berlin, berlin, germany",27.0
9029,"gavà, barcelona, spain",
9034,"santiago, region metropolitana, chile",
9080,"campinas, sao paulo, brazil",20.0
9083,"mercer island, washington, usa",
9094,"albuquerque, new mexico, usa",14.0
9138,"darien, connecticut, usa",
9140,"grand junction, colorado, usa",25.0
9141,"durango, colorado, usa",65.0
9174,"denver, colorado, usa",37.0
9177,"leicester, leicestershire, united kingdom",26.0
9203,"great bend, kansas, usa",69.0
9221,"boise, idaho, usa",49.0
9224,"woodbridge, suffolk, united kingdom",
9226,"kapolei, hawaii, usa",27.0
9227,"glendora, california, usa",24.0
9244,"griesstätt, bayern, germany",
9260,"hannover, niedersachsen, germany",34.0
9290,"new orleans, louisiana, usa",52.0
9340,"oak park, illinois, usa",35.0
9343,"fredericton, new brunswick, canada",
9354,"albuquerque, new mexico, usa",30.0
9357,"quechee, vermont, usa",
9373,"banks, alabama, usa",40.0
9381,"bagshot, surrey, united kingdom",
9391,"daly city, california, usa",
9406,"nederland, colorado, usa",
9408,"waipahu, hawaii, usa",34.0
9414,"ipswich, suffolk, united kingdom",37.0
9417,"whitby, ontario, canada",26.0
9419,"somewhere, texas, usa",
9432,"metz, lorraine, france",24.0
9454,"reno, nevada, usa",
9484,"st. catharines, ontario, canada",
9486,"east windsor, new jersey, usa",46.0
9525,"woodbridge, new jersey, usa",15.0
9528,"gilbert, arizona, usa",17.0
9571,"reinbek, schleswig-holstein, germany",27.0
9574,"lansing, michigan, usa",33.0
9582,"creve coeur, missouri, usa",40.0
9613,"collings lakes, new jersey, usa",34.0
9642,"forster-tuncurry, new south wales, australia",14.0
9652,"saint petersburg, florida, usa",34.0
9660,"albuquerque, new mexico, usa",35.0
9718,"brooklyn, new york, usa",35.0
9721,"san dimas, california, usa",47.0
9735,"new freedom, pennsylvania, usa",16.0
9747,"o`fallon, missouri, usa",
9825,"grand rapids, ,",
9856,"glendale, colorado, usa",22.0
9863,"sussex, new brunswick, canada",
9876,"forest hills, new york, usa",
9896,"gibbon, nebraska, usa",
9905,"kenner, louisiana, usa",
9908,"woodstock, georgia, usa",36.0
9979,"brampton, ontario, canada",
